id,full_title,age,view_count,like_count,dislike_count,comment_count,artists
1047,Best Ethiopian Guragegna Music 2014 Teka Asefa Ft Yetagesu Melesse - Yangut,2139,243839,591,120,131,TEKA ASEFA FT YETAGESU MELESSE
1048,Elias Gizachew - Konkolata | ኮንኮላታ - New Ethiopian Music 2017 (Official Video),955,377199,1771,132,360,ELIAS GIZACHEW
1049,Tilahun Ashagre - Fenedekech | ፈነደቀች - New Ethiopian Music 2019 (Official Video),180,40609,435,43,147,TILAHUN ASHAGRE
1050,Mulugeta Lema - Yene Bicha - New Ethiopian Music 2016 (Official Video),1214,82815,304,20,88,MULUGETA LEMA
1051,Hot New Ethiopian Music 2014 Senait Tadesse - Na Na (Official Video),1827,192478,261,65,25,SENAIT TADESSE
1052,Alemayehu Erecha - Sakilign | ሳቂልኝ - New Ethiopian Music (Official Video),1049,39814,140,32,95,ALEMAYEHU ERECHA
1053,Best Ethiopian Traditional Music 2014 Solomon Demle - Mech Ayeshiwuna,2091,2359777,3222,664,438,SOLOMON DEMLE
1054,Hirphaa Gaanfuree - MEE BURRAAQII - New Ethiopian Music 2019 (Official Video),284,472989,3201,225,653,HIRPHAA GAANFUREE
1055,Gizachew Teklemariam - Ligabaw Beyene | ሊጋባው በየነ - New Ethiopian Music 2018 (Official Video),665,3227821,7733,1208,1260,GIZACHEW TEKLEMARIAM
1056,Falmataa Ashebir - Feetu Of Ajeesi - New Ethiopian Oromigna Music 2015 (Official Video),1484,13692,31,2,4,FALMATAA ASHEBIR
1057,Michael Guyassa - Agbeteshal Alu | አግብተሻል አሉ - New Ethiopian Music 2019 (Official Video),38,239477,2513,138,621,MICHAEL GUYASSA
1058,Mimi Adissu - Melsat Merkebu  New Ethiopian music 2014,2145,666375,810,205,175,MIMI ADISSU
1059,Yigrem Assefa - Neger Abrji | ነገር አብርጂ - New Ethiopian Music 2017 (Official Video),972,5149392,8605,2117,1217,YIGREM ASSEFA
1060,Samuel Seneshaw - Erget | እርገጥ - New Ethiopian Music 2017 (Official Video),957,329470,928,133,204,SAMUEL SENESHAW
1061,Kibrom Haftu & Biruk Shewa - Ney Wudewa | ነይ ውዴዋ - New Ethiopian Music 2017 (Official Video),886,34615,268,45,85,KIBROM HAFTU
1062,Kibrom Haftu & Biruk Shewa - Ney Wudewa | ነይ ውዴዋ - New Ethiopian Music 2017 (Official Video),886,34615,268,45,85,BIRUK SHEWA
1063,Hencok Daniel - Amile Landa | አሚለ ላንዳ - New Ethiopian Music 2018 (Official Video),403,210974,983,69,249,HENCOK DANIEL
1064,Getish Mamo - Enkebaber (Tekebel 2) | እንከባበር - New Ethiopian Music 2017 (Official Video),890,9204441,18515,3173,2449,GETISH MAMO
1065,Dawit Alemayehu - Atse Begulbetu | አፄ በጉልበቱ - New Ethiopian Music 2016 (Official Audio),1117,36408,198,9,43,DAWIT ALEMAYEHU
1066,Helen Iticha - Alchalkumina - New Ethiopian Music 2015 (Official Video),1449,19436,53,7,15,HELEN ITICHA
1067,Abebe Kefeni - Megaal werre Quaalu - New Ethiopian Music 2016 (Official Video),1248,399110,902,121,178,ABEBE KEFENI
1068,Tewodros Assefa - Akukulu | አኩኩሉ - New Ethiopian Music 2018 (Official Video),636,141907,613,101,146,TEWODROS ASSEFA
1069,Mastewal Chane - Balagerua | ባላገሯ - New Ethiopian Music 2017 (Official Video),741,373764,1257,165,307,MASTEWAL CHANE
1070,Muas Baba - Amaregn | አማረኝ - New Ethiopian Music 2018 (Official Video),548,76300,593,64,145,MUAS BABA
1071,Addis Mulat - Hageren | ሃገሬን - New Ethiopian Music Dedicated to Dr Abiy Ahmed,495,4789673,22566,2040,3669,ADDIS MULAT
1072,Alebachew Chebero - Efuye Gella | እፉየ ገላ - New Ethiopian Music 2017 (Official Video),840,34187,165,20,80,ALEBACHEW CHEBERO
1073,Tigist Asmare - Amelegnaw | አመለኛው - New Ethiopian Music Dedicated to Dr Abiy Ahmed,477,1001503,3318,513,648,TIGIST ASMARE
1074,Asfaw Eshetu - Bewaza | ብዋዛ - New Ethiopian Music 2019 (Official Video),250,58830,396,47,131,ASFAW ESHETU
1075,Million Eshetu -  Niendo Nabay  | ንዕን'ዶ ናባይ - New Ethiopian Tigrigna Music 2017 (Official Video),689,2950097,15297,2113,2494,MILLION ESHETU
1076,Dagmawi Yirga Belay - Wedo Zemach | ወዶ ዘማች - New Ethiopian Music 2016 (Official Video),1103,40638,167,17,125,DAGMAWI YIRGA BELAY
1077,Abraham Nigussie - Yanurlign - New Ethiopian Music 2016 (Official Video),1169,172219,892,37,351,ABRAHAM NIGUSSIE
1078,Tewodros Mengesha - Arhibu | አርሂቡ - New Ethiopian Music (Official Video),525,50222,329,36,95,TEWODROS MENGESHA
1079,Rekik Amare - Yesew Sew - New Ethiopian Music 2016 (Official Video),1217,57780,158,22,64,REKIK AMARE
1080,Best New Ethiopian Music 2014 Adi Belete - Kessimme,2097,23695,42,13,6,ADI BELETE
